代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),发行数量总计(万股),新股发行数量(万股),老股转让数量(万股),网下配售数量(万股),网上发行数量(万股),回拨比例(%),预计募资(上市公司)(亿元),募资总额(上市公司)(亿元),募资净额(上市公司)(亿元),上市公司发行费用(万元),上市公司发行费率(%),老股转让费用(万元),转让费率(%),发行费用合计(万元),发行费率(%),承销及保荐费(万元),审计及验资费(万元),法律费用(万元),信息披露费(万元),发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,承销商认购余股(万股),包销金额(万元),包销比例,面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所,上市首日涨跌幅%,上市5日涨跌幅%,上市10日涨跌幅%,上市20日涨跌幅%
300884.SZ,狄耐克,300884,2020/10/26,2020/11/3,2020/11/12,创业板,24.87,26.11,50.63,3000,3000,0,1545,1455,20,7.27,7.46,6.96,4979.59,6.67,0,0,4979.59,6.67,3930.49,413.25,216.98,377.36,"网下询价,上网定价",余额包销,国信证券股份有限公司,容诚会计师事务所(特殊普通合伙),福建中兴资产评估房地产土地估价有限责任公司,广东信达律师事务所,2020/11/2,3.34,83.17,0.11,1,福建,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子设备和仪器,A股,深圳,208,-13.58,-19.13,
688057.SH,金达莱,787057,2020/10/23,2020/11/2,2020/11/11,科创板,25.84,29.11,25.79,6900,6900,0,4266.7,2633.3,10,11.08,17.83,16.83,9963.89,5.59,0,0,9963.89,5.59,7965.4,660.38,754.72,476.42,"战略配售,网下询价,上网定价",余额包销,申港证券股份有限公司,中审众环会计师事务所(特殊普通合伙),中铭国际资产评估(北京)有限责任公司,北京国枫律师事务所,2020/10/30,2.82,72.78,0.04,1,江西,生态保护和环境治理业,社会服务业-其他社会服务业,工业--商业和专业服务--商业服务与用品--环境与设施服务,A股,上海,70.12,-10.26,-13.13,
688057.SH,金达莱,787057,2020/10/23,2020/11/2,2020/11/11,科创板,25.84,29.11,25.79,6900,6900,0,4266.7,2633.3,10,11.08,17.83,16.83,9963.89,5.59,0,0,9963.89,5.59,7965.4,660.38,754.72,476.42,"战略配售,网下询价,上网定价",余额包销,中信证券股份有限公司,中审众环会计师事务所(特殊普通合伙),中铭国际资产评估(北京)有限责任公司,北京国枫律师事务所,2020/10/30,2.82,72.78,0.04,1,江西,生态保护和环境治理业,社会服务业-其他社会服务业,工业--商业和专业服务--商业服务与用品--环境与设施服务,A股,上海,70.12,-10.26,-13.13,
688160.SH,步科股份,787160,2020/10/23,2020/11/2,2020/11/12,科创板,20.34,41.62,37.21,2100,2100,0,1302,798,10,3.17,4.27,3.81,4568.59,10.7,0,0,4568.59,10.7,2715.75,800,556.6,443.4,"战略配售,网下询价,上网定价",余额包销,海通证券股份有限公司,天健会计师事务所(特殊普通合伙),广东中广信资产评估有限公司,国浩律师事务所,2020/10/30,0.88,17.87,0.04,1,上海,仪器仪表制造业,,工业--资本货物--电气设备--电气部件与设备,A股,上海,180.48,18.98,-2.05,
688135.SH,利扬芯片,787135,2020/10/22,2020/10/30,2020/11/11,科创板,15.72,36.58,50.49,3410,3410,0,2250.6,1159.4,10,6.28,5.36,4.71,6510.94,12.15,0,0,6510.94,12.15,4173.02,1445,418.11,427.36,"战略配售,网下询价,上网定价",余额包销,东莞证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,北京德恒律师事务所,2020/10/29,1.47,23.16,0.04,1,广东,计算机、通信和其他电子设备制造业,制造业-电子-其他电子设备制造业,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体设备,A股,上海,297.77,4.11,-7.29,
605007.SH,五洲特纸,707007,2020/10/20,2020/10/28,2020/11/10,主板,10.09,22.97,24.55,4001,4001,0,400.1,3600.9,60,4.04,4.04,3.4,6334.97,15.69,0,0,6334.97,15.69,3207.55,1415.09,1132.08,529.25,"网下询价,上网定价",余额包销,华创证券有限责任公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,国浩律师事务所,2020/10/27,12.1,122.09,0.3,1,浙江,造纸和纸制品业,,材料--材料Ⅱ--纸与林木产品--纸制品,A股,上海,44,61.05,72.75,
003018.SZ,金富科技,3018,2020/10/20,2020/10/28,2020/11/6,中小企业板,8.93,22.98,37.59,6500,6500,0,650,5850,50,5.8,5.8,4.9,9013.27,15.53,0,0,9013.27,15.53,6520.25,1461.42,417.92,553.02,"网下询价,上网定价",余额包销,中信证券股份有限公司,容诚会计师事务所(特殊普通合伙),"中水致远资产评估有限公司,中联国际评估咨询有限公司",北京市康达律师事务所,2020/10/27,15.49,138.35,0.24,1,广东,橡胶和塑料制品业,,材料--材料Ⅱ--容器与包装--金属与玻璃容器,A股,深圳,44.01,36.55,23.64,
688529.SH,豪森股份,787529,2020/10/20,2020/10/28,2020/11/9,科创板,20.2,75.8,46.75,3200,3200,0,1984,1216,10,8.56,6.46,5.9,5634.01,8.72,0,0,5634.01,8.72,4118.4,686,330.3,445.14,"战略配售,网下询价,上网定价",余额包销,海通证券股份有限公司,立信会计师事务所(特殊普通合伙),辽宁众华资产评估有限公司,上海市锦天城律师事务所,2020/10/27,1.17,23.69,0.04,1,辽宁,专用设备制造业,,工业--资本货物--机械--工业机械,A股,上海,291.58,-25.47,-30.61,
300903.SZ,科翔股份,300903,2020/10/19,2020/10/27,2020/11/5,创业板,13.06,30.58,50.42,4310,4310,0,2219.65,2090.35,20,8.09,5.63,5.02,6123.17,10.88,0,0,6123.17,10.88,4161.93,698.11,660.38,498.11,"网下询价,上网定价",余额包销,申港证券股份有限公司,众华会计师事务所(特殊普通合伙),"上海众华资产评估有限公司,国众联资产评估土地房地产估价有限公司",广东信达律师事务所,2020/10/26,3.28,42.89,0.08,1,广东,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳,342.73,2.63,6.97,
300906.SZ,日月明,300906,2020/10/23,2020/10/27,2020/11/5,创业板,26.42,39.2,39.21,2000,2000,0,,2000,0,5.28,5.28,4.82,4667.25,8.83,0,0,4667.25,8.83,3602.64,480.19,166.04,380.19,上网定价,余额包销,西部证券股份有限公司,致同会计师事务所(特殊普通合伙),中水致远资产评估有限公司,江西华邦律师事务所,2020/10/26,3.01,79.39,0.15,1,江西,铁路、船舶、航空航天和其他运输设备制造业,信息技术业-计算机应用服务业-计算机软件开发与咨询,信息技术--技术硬件与设备--电子设备、仪器和元件--电子设备和仪器,A股,深圳,148.79,-13.04,-12.75,
