代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),发行数量总计(万股),新股发行数量(万股),老股转让数量(万股),网下配售数量(万股),网上发行数量(万股),回拨比例(%),预计募资(上市公司)(亿元),募资总额(上市公司)(亿元),募资净额(上市公司)(亿元),上市公司发行费用(万元),上市公司发行费率(%),老股转让费用(万元),转让费率(%),发行费用合计(万元),发行费率(%),承销及保荐费(万元),审计及验资费(万元),法律费用(万元),信息披露费(万元),发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,承销商认购余股(万股),包销金额(万元),包销比例,面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所,上市首日涨跌幅%,上市5日涨跌幅%,上市10日涨跌幅%,上市20日涨跌幅%
002993.SZ,奥海科技,2993,2020/7/23,2020/8/3,2020/8/17,中小企业板,26.88,22.99,52.09,4520,4520,0,452,4068,50,12.15,12.15,11.21,9423.7,7.76,0,0,9423.7,7.76,7450.32,1000,533.02,394.34,"网下询价,上网定价",余额包销,国金证券股份有限公司,天健会计师事务所(特殊普通合伙),开元资产评估有限公司,广东信达律师事务所,2020/7/31,7.83,210.42,0.17,1,广东,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳,44.01,61.04,127.49,
605366.SH,宏柏新材,707366,2020/7/23,2020/7/31,2020/8/12,主板,9.98,22.78,26.19,8300,8300,0,830,7470,50,8.28,8.28,7.5,7803.42,9.42,0,0,7803.42,9.42,5375.83,779.24,717.44,483.96,"网下询价,上网定价",余额包销,中信证券股份有限公司,中汇会计师事务所(特殊普通合伙),上海立信资产评估有限公司,北京市中伦律师事务所,2020/7/30,16.34,163.03,0.2,1,江西,化学原料和化学制品制造业,,材料--材料Ⅱ--化工--特种化工,A股,上海,43.99,18.86,5.08,
688155.SH,先惠技术,787155,2020/7/22,2020/7/30,2020/8/11,科创板,38.77,47.74,44.29,1891,1891,0,1172.45,718.55,10,4.89,7.33,6.43,9054.29,12.35,0,0,9054.29,12.35,6902.27,991.98,660.38,462.26,"战略配售,网下询价,上网定价",余额包销,东兴证券股份有限公司,上会会计师事务所(特殊普通合伙),"上海众华资产评估有限公司,上海申威资产评估有限公司",上海市广发律师事务所,2020/7/29,0.57,22.03,0.03,1,上海,专用设备制造业,,工业--资本货物--机械--工业机械,A股,上海,111.53,-20.56,-28.01,
688286.SH,敏芯股份,787286,2020/7/21,2020/7/29,2020/8/10,科创板,62.67,65.46,52.25,1330,1330,0,824.3,505.7,10,8.19,8.34,7.32,10119.01,12.14,0,0,10119.01,12.14,7378.24,1000,908.02,600,"战略配售,网下询价,上网定价",余额包销,国泰君安证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,浙江天册律师事务所,2020/7/28,0.57,35.48,0.04,1,江苏,计算机、通信和其他电子设备制造业,信息技术业-计算机及相关设备制造业-计算机相关设备制造业,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海,269.4,-25.71,-36.24,
605066.SH,天正电气,707066,2020/7/21,2020/7/29,2020/8/7,主板,10.02,22.98,28.31,7100,7100,0,710,6390,60,7.11,7.11,6.6,5106.7,7.18,0,0,5106.7,7.18,4009.43,306.6,216.98,518.87,"网下询价,上网定价",余额包销,国泰君安证券股份有限公司,中兴华会计师事务所(特殊普通合伙),天源资产评估有限公司,北京德恒律师事务所,2020/7/28,13.09,131.17,0.18,1,浙江,电气机械和器材制造业,,工业--资本货物--电气设备--电气部件与设备,A股,上海,44.01,23.28,13.24,
605100.SH,华丰股份,707100,2020/7/20,2020/7/29,2020/8/11,主板,39.43,22.99,33.14,2170,2170,0,217,1953,50,8.56,8.56,7.97,5886.01,6.88,0,0,5886.01,6.88,4258,752.53,330.19,525.47,"网下询价,上网定价",余额包销,国金证券股份有限公司,大信会计师事务所(特殊普通合伙),山东红旗资产评估有限公司,上海市锦天城律师事务所,2020/7/28,4.98,196.49,0.23,1,山东,通用设备制造业,制造业-机械、设备、仪表-普通机械制造业-通用设备制造业,工业--资本货物--机械--建筑机械与重型卡车,A股,上海,44,13.61,1.23,
605158.SH,华达新材,707158,2020/7/17,2020/7/27,2020/8/5,主板,8.55,20.66,29.09,9840,9840,0,984,8856,50,8.41,8.41,7.5,9132.06,10.85,0,0,9132.06,10.85,5744.57,1835.38,922.64,554.72,"网下询价,上网定价",余额包销,海通证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,国浩律师事务所,2020/7/24,16.02,137.01,0.16,1,浙江,金属制品业,,材料--材料Ⅱ--金属、非金属与采矿--钢铁,A股,上海,43.98,22.91,13.16,
300859.SZ,西域旅游,300859,2020/7/20,2020/7/27,2020/8/6,创业板,7.19,15.28,39.69,3875,3875,0,387.5,3487.5,50,2.79,2.79,2.37,4191.78,15.05,0,0,4191.78,15.05,2621.66,650.66,400.94,419.81,"网下询价,上网定价",余额包销,国金证券股份有限公司,立信会计师事务所(特殊普通合伙),万隆(上海)资产评估有限公司,北京市中伦律师事务所,2020/7/24,5.3,38.08,0.14,1,新疆,公共设施管理业,社会服务业-公共设施服务业-其他公共设施服务业,可选消费--消费者服务Ⅱ--酒店、餐馆与休闲Ⅲ--酒店、度假村与豪华游轮,A股,深圳,43.95,61.16,159.61,
688556.SH,高测股份,787556,2020/7/17,2020/7/27,2020/8/7,科创板,14.41,80.67,44,4046.29,4046.29,0,2508.79,1537.5,10,6.53,5.83,5.31,5256.64,9.02,0,0,5256.64,9.02,3998.42,471.7,205.97,485.85,"战略配售,网下询价,上网定价",余额包销,国信证券股份有限公司,中兴华会计师事务所(特殊普通合伙),,北京市中伦律师事务所,2020/7/24,0.99,14.23,0.02,1,山东,专用设备制造业,制造业-机械、设备、仪表-专用设备制造业,工业--资本货物--机械--工业机械,A股,上海,240.39,-29.44,-34.15,
605399.SH,晨光新材,707399,2020/7/15,2020/7/23,2020/8/4,主板,13.16,22.99,25.42,4600,4600,0,460,4140,50,6.05,6.05,5.6,4522.73,7.47,0,0,4522.73,7.47,3366.93,351.89,328.3,433.96,"网下询价,上网定价",余额包销,国元证券股份有限公司,苏亚金诚会计师事务所(特殊普通合伙),江苏华信资产评估有限公司,北京市嘉源律师事务所,2020/7/22,11.19,147.25,0.24,1,江西,化学原料和化学制品制造业,,材料--材料Ⅱ--化工--基础化工,A股,上海,44,38.94,25.96,
002992.SZ,宝明科技,2992,2020/7/14,2020/7/23,2020/8/3,中小企业板,22.35,22.99,50.72,3450,3450,0,345,3105,50,7.71,7.71,7.07,6414.17,8.32,0,0,6414.17,8.32,4716.98,768.87,349.26,518.87,"网下询价,上网定价",余额包销,中银国际证券股份有限公司,容诚会计师事务所(特殊普通合伙),中铭国际资产评估(北京)有限责任公司,北京市金杜律师事务所,2020/7/22,6.73,150.31,0.19,1,广东,计算机、通信和其他电子设备制造业,,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,深圳,43.98,61.03,23.37,
688338.SH,赛科希德,787338,2020/7/15,2020/7/23,2020/8/6,科创板,50.35,57.99,,2041.2,2041.2,0,1263.5,777.7,10,4.75,10.28,9.24,10347.46,10.07,0,0,10347.46,10.07,8532.22,820.75,514.15,433.96,"战略配售,网下询价,上网定价",余额包销,中国国际金融股份有限公司,容诚会计师事务所(特殊普通合伙),中水致远资产评估有限公司,北京市中伦律师事务所,2020/7/22,1.08,54.57,0.05,1,北京,医药制造业,,医疗保健--制药、生物科技与生命科学--生物科技Ⅲ--生物科技,A股,上海,237.99,-32.2,-42.31,
002995.SZ,天地在线,2995,2020/7/20,2020/7/22,2020/8/5,中小企业板,33.84,22.99,44.1,1617,1617,0,,1617,0,5.47,5.47,4.81,6624.5,12.11,0,0,6624.5,12.11,4100,1023.58,837.74,657.08,上网定价,余额包销,民生证券股份有限公司,天职国际会计师事务所(特殊普通合伙),沃克森(北京)国际资产评估有限公司,北京观韬中茂律师事务所,2020/7/21,4.95,167.41,0.31,1,北京,互联网和相关服务,,信息技术--软件与服务--互联网软件与服务Ⅲ--互联网软件与服务,A股,深圳,44,61.07,59.57,
002991.SZ,甘源食品,2991,2020/7/13,2020/7/22,2020/7/31,中小企业板,38.76,22.99,34.58,2330.4,2330.4,0,233,2097.4,50,9.03,9.03,8.37,6622.45,7.33,0,0,6622.45,7.33,4543.69,1003.77,516.98,519.81,"网下询价,上网定价",余额包销,国信证券股份有限公司,天健会计师事务所(特殊普通合伙),万隆(上海)资产评估有限公司,北京市中伦律师事务所,2020/7/21,8.14,315.44,0.35,1,江西,农副食品加工业,,日常消费--食品、饮料与烟草--食品--食品加工与肉类,A股,深圳,43.99,61.05,159.38,
688586.SH,江航装备,787586,2020/7/14,2020/7/22,2020/7/31,科创板,10.27,47.17,33.52,10093.61,10093.61,0,7348.11,2745.5,10,6.27,10.37,9.41,9568.06,9.23,0,0,9568.06,9.23,8678.87,299.06,150.94,358.49,"战略配售,网下询价,上网定价",余额包销,中信证券股份有限公司,中审众环会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京市嘉源律师事务所,2020/7/21,3.86,39.65,0.04,1,安徽,铁路、船舶、航空航天和其他运输设备制造业,,工业--资本货物--航空航天与国防Ⅲ--航天航空与国防,A股,上海,292.99,13.73,-2.65,
688586.SH,江航装备,787586,2020/7/14,2020/7/22,2020/7/31,科创板,10.27,47.17,33.52,10093.61,10093.61,0,7348.11,2745.5,10,6.27,10.37,9.41,9568.06,9.23,0,0,9568.06,9.23,8678.87,299.06,150.94,358.49,"战略配售,网下询价,上网定价",余额包销,中航证券有限公司,中审众环会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京市嘉源律师事务所,2020/7/21,3.86,39.65,0.04,1,安徽,铁路、船舶、航空航天和其他运输设备制造业,,工业--资本货物--航空航天与国防Ⅲ--航天航空与国防,A股,上海,292.99,13.73,-2.65,
688311.SH,盟升电子,787311,2020/7/14,2020/7/22,2020/7/31,科创板,41.58,68.31,50.72,2867,2867,0,1774.7,1092.3,10,6.46,11.92,10.54,13784.7,11.56,0,0,13784.7,11.56,12120.99,724,358.49,528.3,"战略配售,网下询价,上网定价",余额包销,华泰联合证券有限责任公司,立信会计师事务所(特殊普通合伙),,北京市天元律师事务所,2020/7/21,1.41,58.73,0.05,1,四川,计算机、通信和其他电子设备制造业,,工业--资本货物--航空航天与国防Ⅲ--航天航空与国防,A股,上海,228.91,21.09,19.61,
605318.SH,法狮龙,707318,2020/7/10,2020/7/21,2020/8/3,主板,13.09,22.99,36.3,3229.28,3229.28,0,322.88,2906.4,50,4.23,4.23,3.63,5936.61,14.04,0,0,5936.61,14.04,3593.06,1292.45,476.42,533.02,"网下询价,上网定价",余额包销,中德证券有限责任公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,国浩律师事务所,2020/7/20,6.34,82.94,0.2,1,浙江,其他制造业,,工业--资本货物--建筑产品Ⅲ--建筑产品,A股,上海,44,34.16,18.04,
605222.SH,起帆电缆,707222,2020/7/13,2020/7/21,2020/7/31,主板,18.43,22.98,27.26,5000,5000,0,500,4500,60,9.22,9.22,8.46,7530.39,8.17,0,0,7530.39,8.17,5650.71,990.57,330.19,457.55,"网下询价,上网定价",余额包销,海通证券股份有限公司,立信会计师事务所(特殊普通合伙),上海申威资产评估有限公司,上海嘉坦律师事务所,2020/7/20,9.5,175.01,0.19,1,上海,电气机械和器材制造业,,工业--资本货物--电气设备--电气部件与设备,A股,上海,44,4.22,-0.98,
601456.SH,国联证券,780456,2020/7/13,2020/7/21,2020/7/31,主板,4.25,19.6,31.59,47571.9,47571.9,0,4757.1,42814.8,60,20.22,20.22,19.38,8372.12,4.14,0,0,8372.12,4.14,7446.79,169.81,66.04,556.6,"网下询价,上网定价",余额包销,南京证券股份有限公司,德勤华永会计师事务所(特殊普通合伙),江苏中企华中天资产评估有限公司,国浩律师事务所,2020/7/20,83.5,354.87,0.18,1,江苏,资本市场服务,金融、保险业-证券、期货业-综合类证券公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海,44,60.95,159.15,
601456.SH,国联证券,780456,2020/7/13,2020/7/21,2020/7/31,主板,4.25,19.6,31.59,47571.9,47571.9,0,4757.1,42814.8,60,20.22,20.22,19.38,8372.12,4.14,0,0,8372.12,4.14,7446.79,169.81,66.04,556.6,"网下询价,上网定价",余额包销,华英证券有限责任公司,德勤华永会计师事务所(特殊普通合伙),江苏中企华中天资产评估有限公司,国浩律师事务所,2020/7/20,83.5,354.87,0.18,1,江苏,资本市场服务,金融、保险业-证券、期货业-综合类证券公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海,44,60.95,159.15,
688050.SH,爱博医疗,787050,2020/7/10,2020/7/20,2020/7/29,科创板,33.55,55.55,42.78,2629,2629,0,1739.65,889.35,10,8.78,8.82,8.04,7804.04,8.85,0,0,7804.04,8.85,6174.21,570.75,471.7,505.66,"战略配售,网下询价,上网定价",余额包销,招商证券股份有限公司,信永中和会计师事务所(特殊普通合伙),北京中和谊资产评估有限公司,北京市中伦律师事务所,2020/7/17,0.62,20.79,0.02,1,北京,专用设备制造业,,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健设备,A股,上海,616.84,18.84,2.28,
603408.SH,建霖家居,732408,2020/7/9,2020/7/20,2020/7/30,主板,15.53,22.98,32.52,4500,4500,0,450,4050,60,6.99,6.99,6.35,6354.19,9.09,0,0,6354.19,9.09,4438.85,660.38,679.25,132.33,"网下询价,上网定价",余额包销,长江证券承销保荐有限公司,大华会计师事务所(特殊普通合伙),中和资产评估有限公司,北京海润天睿律师事务所,2020/7/17,9.3,144.39,0.21,1,福建,橡胶和塑料制品业,,日常消费--家庭与个人用品--家庭用品Ⅲ--家庭用品,A股,上海,43.98,11.36,4.34,
605118.SH,力鼎光电,707118,2020/7/9,2020/7/20,2020/7/30,主板,9.28,22.99,50.02,4100,4100,0,410,3690,60,3.8,3.8,3.56,2471.65,6.5,0,0,2471.65,6.5,1800,174.53,56.6,385.85,"网下询价,上网定价",余额包销,国金证券股份有限公司,华兴会计师事务所(特殊普通合伙),福建联合中和资产评估土地房地产估价有限公司,福建至理律师事务所,2020/7/17,7.09,65.79,0.17,1,福建,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,上海,43.97,61.15,90.87,
605188.SH,国光连锁,707188,2020/6/17,2020/7/16,2020/7/28,主板,4.65,22.98,19.52,4958,4958,0,495.8,4462.2,60,2.31,2.31,1.89,4203.06,18.23,0,0,4203.06,18.23,2735.85,716.98,226.42,443.4,"网下询价,上网定价",余额包销,中信证券股份有限公司,瑞华会计师事务所(特殊普通合伙),,北京市金杜律师事务所,2020/7/15,8.62,40.09,0.17,1,江西,零售业,,日常消费--食品与主要用品零售Ⅱ--食品与主要用品零售Ⅲ--大卖场与超市,A股,上海,44.09,61.04,159.55,
300858.SZ,科拓生物,300858,2020/7/7,2020/7/15,2020/7/27,创业板,23.7,22.99,47.1,2063,2063,0,206.3,1856.7,50.11,4.89,4.89,4.36,5274.95,10.79,0,0,5274.95,10.79,3690.05,735.85,283.02,518.87,"网下询价,上网定价",余额包销,瑞信方正证券有限责任公司,中审众环会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京市康达律师事务所,2020/7/14,4.29,101.65,0.21,1,北京,食品制造业,,日常消费--食品、饮料与烟草--食品--食品加工与肉类,A股,深圳,44.01,61.03,150.75,
300855.SZ,图南股份,300855,2020/7/3,2020/7/14,2020/7/23,创业板,10.51,22.99,32.37,5000,5000,0,500,4500,50,5.26,5.26,4.68,5744.03,10.93,0,0,5744.03,10.93,4213.92,374.34,599.06,523.58,"网下询价,上网定价",余额包销,民生证券股份有限公司,苏亚金诚会计师事务所(特殊普通合伙),上海申威资产评估有限公司,上海市锦天城律师事务所,2020/7/13,10.66,112.05,0.21,1,江苏,有色金属冶炼和压延加工业,制造业-金属、非金属-有色金属冶炼及压延加工业-有色金属合金业,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,A股,深圳,43.96,60.94,159.29,
300857.SZ,协创数据,300857,2020/7/6,2020/7/14,2020/7/27,创业板,9.3,22.99,47.61,5163.94,5163.94,0,516.34,4647.6,50,4.8,4.8,4.34,4635.88,9.65,0,0,4635.88,9.65,2907.06,821.7,337.74,543.4,"网下询价,上网定价",余额包销,天风证券股份有限公司,广东正中珠江会计师事务所(特殊普通合伙),天津华夏金信资产评估有限公司,广东信达律师事务所,2020/7/13,10.22,95.09,0.2,1,广东,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳,43.98,61.02,159.37,
688069.SH,德林海,787069,2020/7/6,2020/7/13,2020/7/22,科创板,67.2,42.36,23.61,1487,1487,0,920.5,566.5,10,5.2,9.99,9.3,6952.11,6.96,0,0,6952.11,6.96,5196.32,556.6,608.49,521.7,"战略配售,网下询价,上网定价",余额包销,申港证券股份有限公司,信永中和会计师事务所(特殊普通合伙),中威正信(北京)资产评估有限公司,北京市天元律师事务所,2020/7/10,0.71,47.58,0.05,1,江苏,生态保护和环境治理业,,工业--商业和专业服务--商业服务与用品--环境与设施服务,A股,上海,51.34,-13.28,-3.23,
688336.SH,三生国健,787336,2020/7/3,2020/7/13,2020/7/22,科创板,28.18,75.73,49.05,6162.11,6162.11,0,4396.36,1765.75,10,32.85,17.36,16.34,10205.56,5.88,0,0,10205.56,5.88,8390.99,502.85,684.88,475,"战略配售,网下询价,上网定价",余额包销,华泰联合证券有限责任公司,安永华明会计师事务所(特殊普通合伙),上海东洲资产评估有限公司,北京市中伦律师事务所,2020/7/10,2.03,57.31,0.03,1,上海,医药制造业,,医疗保健--制药、生物科技与生命科学--生物科技Ⅲ--生物科技,A股,上海,91.98,-13.84,-14.33,
688336.SH,三生国健,787336,2020/7/3,2020/7/13,2020/7/22,科创板,28.18,75.73,49.05,6162.11,6162.11,0,4396.36,1765.75,10,32.85,17.36,16.34,10205.56,5.88,0,0,10205.56,5.88,8390.99,502.85,684.88,475,"战略配售,网下询价,上网定价",余额包销,中信证券股份有限公司,安永华明会计师事务所(特殊普通合伙),上海东洲资产评估有限公司,北京市中伦律师事务所,2020/7/10,2.03,57.31,0.03,1,上海,医药制造业,,医疗保健--制药、生物科技与生命科学--生物科技Ⅲ--生物科技,A股,上海,91.98,-13.84,-14.33,
300856.SZ,科思股份,300856,2020/7/2,2020/7/13,2020/7/22,创业板,30.56,22.44,23.41,2822,2822,0,282.2,2539.8,50,8.62,8.62,7.85,7727.21,8.96,0,0,7727.21,8.96,6045.66,712.08,431.13,533.02,"网下询价,上网定价",余额包销,民生证券股份有限公司,天衡会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京市竞天公诚律师事务所,2020/7/10,5.31,162.32,0.19,1,江苏,化学原料和化学制品制造业,制造业-石油、化学、塑胶、塑料-化学原料及化学制品制造业-基本化学原料制造业,材料--材料Ⅱ--化工--基础化工,A股,深圳,44.01,61.05,113.57,
300856.SZ,科思股份,300856,2020/7/2,2020/7/13,2020/7/22,创业板,30.56,22.44,23.41,2822,2822,0,282.2,2539.8,50,8.62,8.62,7.85,7727.21,8.96,0,0,7727.21,8.96,6045.66,712.08,431.13,533.02,"网下询价,上网定价",余额包销,华英证券有限责任公司,天衡会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京市竞天公诚律师事务所,2020/7/10,5.31,162.32,0.19,1,江苏,化学原料和化学制品制造业,制造业-石油、化学、塑胶、塑料-化学原料及化学制品制造业-基本化学原料制造业,材料--材料Ⅱ--化工--基础化工,A股,深圳,44.01,61.05,113.57,
688508.SH,芯朋微,787508,2020/7/3,2020/7/13,2020/7/22,科创板,28.3,52.16,65.81,2820,2820,0,1748.4,1071.6,10,6.44,7.98,7.22,7556.89,9.47,0,0,7556.89,9.47,6145.06,641.51,266.98,415.09,"战略配售,网下询价,上网定价",余额包销,华林证券股份有限公司,公证天业会计师事务所(特殊普通合伙),江苏中企华中天资产评估有限公司,江苏世纪同仁律师事务所,2020/7/10,0.98,27.66,0.03,1,江苏,软件和信息技术服务业,信息技术业-计算机及相关设备制造业-计算机相关设备制造业,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,上海,367.67,-3.21,15.36,
688589.SH,力合微,787589,2020/7/3,2020/7/13,2020/7/22,科创板,17.91,48.48,47.01,2700,2700,0,1674,1026,10,3.76,4.84,4.26,5801.84,12,0,0,5801.84,12,3421.49,1280,594.34,450,"战略配售,网下询价,上网定价",余额包销,兴业证券股份有限公司,天健会计师事务所(特殊普通合伙),国众联资产评估土地房地产估价有限公司,北京市中伦律师事务所,2020/7/10,0.98,17.57,0.04,1,广东,计算机、通信和其他电子设备制造业,,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海,341.49,-18.22,-10.42,
688418.SH,震有科技,787418,2020/7/2,2020/7/13,2020/7/22,科创板,16.25,54.27,47.01,4841,4841,0,3195.05,1645.95,10,6.19,7.87,7.13,7365.7,9.36,0,0,7365.7,9.36,5194.94,1286.79,358.49,483.96,"战略配售,网下询价,上网定价",余额包销,中信证券股份有限公司,天健会计师事务所(特殊普通合伙),"万隆(上海)资产评估有限公司,北京国友大正资产评估有限公司",国浩律师事务所,2020/7/10,2.02,32.89,0.04,1,广东,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,A股,上海,158.4,22.24,15.36,
300853.SZ,申昊科技,300853,2020/7/3,2020/7/13,2020/7/24,创业板,30.41,22.99,30.82,2040.7,2040.7,0,204.05,1836.65,50,6.21,6.21,5.7,5057.69,8.15,0,0,5057.69,8.15,2452.83,933.96,1070.57,562.26,"网下询价,上网定价",余额包销,中信建投证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,北京国枫律师事务所,2020/7/10,3.32,100.98,0.16,1,浙江,通用设备制造业,制造业-机械、设备、仪表,工业--资本货物--机械--工业机械,A股,深圳,44,61.06,89.4,
688077.SH,大地熊,787077,2020/7/3,2020/7/13,2020/7/22,科创板,28.07,49.01,47.01,2000,2000,0,1240,760,10,4.12,5.61,5.02,5954.69,10.61,0,0,5954.69,10.61,4472.83,627.36,283.02,510.38,"战略配售,网下询价,上网定价",余额包销,华泰联合证券有限责任公司,容诚会计师事务所(特殊普通合伙),安徽中联国信资产评估有限责任公司,安徽承义律师事务所,2020/7/10,0.86,24.15,0.04,1,安徽,计算机、通信和其他电子设备制造业,,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,A股,上海,117.35,17.64,27.16,
688580.SH,伟思医疗,787580,2020/6/30,2020/7/8,2020/7/21,科创板,67.58,48.88,39.73,1708.67,1708.67,0,1057.72,650.95,10,5.59,11.55,10.63,9173,7.94,0,0,9173,7.94,7798.04,481.6,320.75,495.28,"战略配售,网下询价,上网定价",余额包销,长江证券承销保荐有限公司,天衡会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,江苏世纪同仁律师事务所,2020/7/7,0.6,40.67,0.04,1,江苏,专用设备制造业,制造业-机械、设备、仪表-专用设备制造业-医疗器械制造业,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健设备,A股,上海,167.83,-5.09,13.04,
300848.SZ,美瑞新材,300848,2020/6/15,2020/7/8,2020/7/20,创业板,28.18,22.99,22.13,1667,1667,0,,1667,0,4.7,4.7,4.21,4873.79,10.38,0,0,4873.79,10.38,3734.04,483.49,221.7,394.34,上网定价,余额包销,海通证券股份有限公司,立信会计师事务所(特殊普通合伙),北京中天华资产评估有限责任公司,国浩律师事务所,2020/7/7,3.56,100.2,0.21,1,山东,化学原料和化学制品制造业,制造业-石油、化学、塑胶、塑料-橡胶制造业,材料--材料Ⅱ--化工--基础化工,A股,深圳,44,61.04,37.06,
688981.SH,中芯国际-U,787981,2020/6/30,2020/7/7,2020/7/16,科创板,27.46,113.12,45.4,193846.3,193846.3,0,143277.7,50568.6,10,207.15,532.3,525.16,71458.68,1.34,0,0,71458.68,1.34,69199.25,368.38,1294.98,490,"战略配售,网下询价,上网定价",余额包销,海通证券股份有限公司,普华永道中天会计师事务所(特殊普通合伙),,上海市锦天城律师事务所,2020/7/6,49.09,1348.03,0.03,0.03,上海,计算机、通信和其他电子设备制造业,制造业-电子-电子元器件制造业-电子元件制造业,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海,201.97,-4.99,-8.72,
688981.SH,中芯国际-U,787981,2020/6/30,2020/7/7,2020/7/16,科创板,27.46,113.12,45.4,193846.3,193846.3,0,143277.7,50568.6,10,207.15,532.3,525.16,71458.68,1.34,0,0,71458.68,1.34,69199.25,368.38,1294.98,490,"战略配售,网下询价,上网定价",余额包销,摩根士丹利华鑫证券有限责任公司,普华永道中天会计师事务所(特殊普通合伙),,上海市锦天城律师事务所,2020/7/6,49.09,1348.03,0.03,0.03,上海,计算机、通信和其他电子设备制造业,制造业-电子-电子元器件制造业-电子元件制造业,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海,201.97,-4.99,-8.72,
688981.SH,中芯国际-U,787981,2020/6/30,2020/7/7,2020/7/16,科创板,27.46,113.12,45.4,193846.3,193846.3,0,143277.7,50568.6,10,207.15,532.3,525.16,71458.68,1.34,0,0,71458.68,1.34,69199.25,368.38,1294.98,490,"战略配售,网下询价,上网定价",余额包销,国开证券股份有限公司,普华永道中天会计师事务所(特殊普通合伙),,上海市锦天城律师事务所,2020/7/6,49.09,1348.03,0.03,0.03,上海,计算机、通信和其他电子设备制造业,制造业-电子-电子元器件制造业-电子元件制造业,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海,201.97,-4.99,-8.72,
688981.SH,中芯国际-U,787981,2020/6/30,2020/7/7,2020/7/16,科创板,27.46,113.12,45.4,193846.3,193846.3,0,143277.7,50568.6,10,207.15,532.3,525.16,71458.68,1.34,0,0,71458.68,1.34,69199.25,368.38,1294.98,490,"战略配售,网下询价,上网定价",余额包销,中信建投证券股份有限公司,普华永道中天会计师事务所(特殊普通合伙),,上海市锦天城律师事务所,2020/7/6,49.09,1348.03,0.03,0.03,上海,计算机、通信和其他电子设备制造业,制造业-电子-电子元器件制造业-电子元件制造业,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海,201.97,-4.99,-8.72,
688981.SH,中芯国际-U,787981,2020/6/30,2020/7/7,2020/7/16,科创板,27.46,113.12,45.4,193846.3,193846.3,0,143277.7,50568.6,10,207.15,532.3,525.16,71458.68,1.34,0,0,71458.68,1.34,69199.25,368.38,1294.98,490,"战略配售,网下询价,上网定价",余额包销,国泰君安证券股份有限公司,普华永道中天会计师事务所(特殊普通合伙),,上海市锦天城律师事务所,2020/7/6,49.09,1348.03,0.03,0.03,上海,计算机、通信和其他电子设备制造业,制造业-电子-电子元器件制造业-电子元件制造业,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海,201.97,-4.99,-8.72,
688981.SH,中芯国际-U,787981,2020/6/30,2020/7/7,2020/7/16,科创板,27.46,113.12,45.4,193846.3,193846.3,0,143277.7,50568.6,10,207.15,532.3,525.16,71458.68,1.34,0,0,71458.68,1.34,69199.25,368.38,1294.98,490,"战略配售,网下询价,上网定价",余额包销,中国国际金融股份有限公司,普华永道中天会计师事务所(特殊普通合伙),,上海市锦天城律师事务所,2020/7/6,49.09,1348.03,0.03,0.03,上海,计算机、通信和其他电子设备制造业,制造业-电子-电子元器件制造业-电子元件制造业,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海,201.97,-4.99,-8.72,
